,Ticker,Company,Current_Price,TTM_Dividend_per_Share,Dividend_Yield_%
342,MCO,Moody's Corporation,496.5,31.4945,6.343
343,ORCL,Oracle Corporation,217.58,13.74,6.315
344,WDC,Western Digital Corporation,168.89,10.5669,6.257
345,CTAS,Cintas Corporation,186.75,11.4572,6.135
346,PHM,"PulteGroup, Inc.",126.99,7.3362,5.777
347,KLAC,KLA Corporation,1214.46,69.42,5.716
348,FOX,Fox Corporation,60.89,3.47,5.699
349,ACGL,Arch Capital Group,91.72,5.0,5.451
350,TMUS,"T-Mobile US, Inc.",209.63,11.2,5.343
351,AME,"AMETEK, Inc.",199.8,10.4808,5.246
352,FOXA,Fox Corporation,68.4,3.47,5.073
353,LH,Labcorp Holdings Inc.,258.39,12.5265,4.848
354,J,Jacobs Solutions Inc.,140.22,6.7833,4.838
355,AMAT,"Applied Materials, Inc.",268.0,12.78,4.769
356,V,Visa Inc.,331.24,15.7712,4.761
357,MGM,MGM Resorts International,36.07,1.698,4.708
358,WST,"West Pharmaceutical Services,",280.23,12.71,4.536
359,HCA,"HCA Healthcare, Inc.",486.7,21.63,4.444
360,INTU,Intuit Inc.,673.63,28.32,4.204
361,VRSK,"Verisk Analytics, Inc.",221.24,8.75,3.955
362,UHS,"Universal Health Services,",231.08,8.91,3.856
363,MCK,McKesson Corporation,808.62,29.1,3.599
364,FTV,Fortive Corporation,53.75,1.9254,3.582
365,AVGO,Broadcom Inc.,390.24,13.836,3.546
366,LRCX,Lam Research Corporation,158.7,5.592,3.524
367,AAPL,Apple Inc.,278.78,9.8036,3.517
368,MA,Mastercard Incorporated,545.52,18.938,3.472
369,IBKR,"Interactive Brokers Group,",64.5,2.2375,3.469
370,VRSN,"VeriSign, Inc.",249.54,8.06,3.23
371,WAB,Westinghouse Air Brake,214.95,6.835,3.18
372,ODFL,Old Dominion Freight,155.15,4.795,3.091
373,IR,Ingersoll Rand Inc.,79.86,2.46,3.08
374,MPWR,"Monolithic Power Systems,",963.27,27.73,2.879
375,JBL,Jabil Inc.,220.06,6.1,2.772
376,TMO,Thermo Fisher Scientific,572.77,15.737,2.748
377,APH,Amphenol Corporation,139.36,3.6588,2.625
378,PAYC,"Paycom Software, Inc.",165.72,4.125,2.489
379,URI,"United Rentals, Inc.",796.91,19.6,2.459
380,TER,"Teradyne, Inc.",200.77,4.3,2.142
381,UAL,"United Airlines Holdings,",104.95,2.15,2.049
382,EA,Electronic Arts Inc.,203.92,3.87,1.898
383,HLT,Hilton Worldwide Holdings,272.25,5.0618,1.859
384,CEG,Constellation Energy Corporation,359.82,4.656,1.294
385,BKNG,Booking Holdings Inc.,5197.04,63.8,1.228
386,CRM,"Salesforce, Inc.",260.57,2.848,1.093
387,EME,"EMCOR Group, Inc.",623.62,6.66,1.068
388,COO,"The Cooper Companies,",81.4,0.8275,1.017
389,MU,"Micron Technology, Inc.",237.22,2.125,0.896
390,HWM,Howmet Aerospace Inc.,190.98,1.5545,0.814
391,VLTO,Veralto Corporation,102.16,0.8,0.783
392,TYL,"Tyler Technologies, Inc.",469.33,3.6083,0.769
393,META,"Meta Platforms, Inc.",673.42,3.575,0.531
394,IT,"Gartner, Inc.",229.77,1.195,0.52
395,REGN,"Regeneron Pharmaceuticals, Inc.",718.36,3.52,0.49
396,PWR,"Quanta Services, Inc.",460.64,1.96,0.425
397,GEHC,GE HealthCare Technologies,85.46,0.35,0.41
398,GOOGL,Alphabet Inc.,321.27,1.22,0.38
399,GOOG,Alphabet Inc.,322.09,1.22,0.379
400,ADSK,"Autodesk, Inc.",306.74,0.8922,0.291
401,PYPL,"PayPal Holdings, Inc.",62.28,0.14,0.225
402,ULTA,"Ulta Beauty, Inc.",601.5,1.0,0.166
403,GEV,GE Vernova Inc.,631.32,1.0,0.158
404,NVDA,NVIDIA Corporation,182.41,0.2237,0.123
405,ADBE,Adobe Inc.,346.26,0.3561,0.103
406,NVR,"NVR, Inc.",7538.08,1.582,0.021
407,MNST,Monster Beverage Corporation,73.74,0.0052,0.007
408,NOW,"ServiceNow, Inc.",854.36,0.0,0.0
409,DECK,Deckers Outdoor Corporation,99.7,0.0,0.0
410,KEYS,"Keysight Technologies, Inc.",210.49,0.0,0.0
411,DLTR,"Dollar Tree, Inc.",122.44,0.0,0.0
412,UBER,"Uber Technologies, Inc.",91.32,0.0,0.0
413,FTNT,"Fortinet, Inc.",86.92,0.0,0.0
414,FSLR,"First Solar, Inc.",257.61,0.0,0.0
415,ANSS,ANSS,,0.0,0.0
416,ANET,"Arista Networks, Inc.",128.59,0.0,0.0
417,AMZN,"Amazon.com, Inc.",229.53,0.0,0.0
418,DASH,"DoorDash, Inc.",225.0,0.0,0.0
419,CZR,"Caesars Entertainment, Inc.",23.24,0.0,0.0
420,WBA,WBA,,0.0,0.0
421,WBD,"Warner Bros. Discovery,",26.08,0.0,0.0
422,LYV,"Live Nation Entertainment,",139.33,0.0,0.0
423,NFLX,"Netflix, Inc.",100.24,0.0,0.0
424,NCLH,Norwegian Cruise Line,18.92,0.0,0.0
425,LULU,lululemon athletica inc.,190.01,0.0,0.0
426,MRNA,"Moderna, Inc.",27.7,0.0,0.0
427,MRO,MRO,,0.0,0.0
428,DVA,DaVita Inc.,117.39,0.0,0.0
429,DXCM,"DexCom, Inc.",65.49,0.0,0.0
430,KMX,"CarMax, Inc.",38.82,0.0,0.0
431,MTD,Mettler-Toledo International Inc.,1414.86,0.0,0.0
432,NET,"Cloudflare, Inc.",200.95,0.0,0.0
433,MHK,"Mohawk Industries, Inc.",110.69,0.0,0.0
434,MOH,"Molina Healthcare, Inc.",151.86,0.0,0.0
435,DFS,DFS,,0.0,0.0
436,DAY,"Dayforce, Inc.",69.07,0.0,0.0
437,PODD,Insulet Corporation,304.49,0.0,0.0
438,BIO,"Bio-Rad Laboratories, Inc.",317.69,0.0,0.0
439,CSGP,"CoStar Group, Inc.",68.01,0.0,0.0
440,CDNS,"Cadence Design Systems,",337.53,0.0,0.0
441,CBRE,"CBRE Group, Inc.",160.86,0.0,0.0
442,HOOD,"Robinhood Markets, Inc.",131.95,0.0,0.0
443,PARA,PARA,,0.0,0.0
444,CPRT,"Copart, Inc.",38.72,0.0,0.0
445,CPAY,"Corpay, Inc.",310.64,0.0,0.0
446,CRL,Charles River Laboratories,184.31,0.0,0.0
447,CHTR,"Charter Communications, Inc.",205.1,0.0,0.0
448,ORLY,"O'Reilly Automotive, Inc.",98.89,0.0,0.0
449,PANW,"Palo Alto Networks,",198.84,0.0,0.0
450,HOLX,"Hologic, Inc.",74.97,0.0,0.0
451,CTLT,CTLT,,0.0,0.0
452,ON,ON Semiconductor Corporation,54.74,0.0,0.0
453,JNPR,JNPR,,0.0,0.0
454,ISRG,"Intuitive Surgical, Inc.",575.34,0.0,0.0
455,CMG,"Chipotle Mexican Grill,",33.94,0.0,0.0
456,EPAM,"EPAM Systems, Inc.",203.6,0.0,0.0
457,ENPH,"Enphase Energy, Inc.",31.25,0.0,0.0
458,IDXX,"IDEXX Laboratories, Inc.",714.1,0.0,0.0
459,IQV,IQVIA Holdings Inc.,225.85,0.0,0.0
460,INCY,Incyte Corporation,102.52,0.0,0.0
461,ILMN,"Illumina, Inc.",128.96,0.0,0.0
462,QRVO,"Qorvo, Inc.",89.96,0.0,0.0
463,ETSY,"Etsy, Inc.",53.26,0.0,0.0
464,CNC,Centene Corporation,38.34,0.0,0.0
465,BIIB,Biogen Inc.,181.3,0.0,0.0
466,SMCI,"Super Micro Computer,",34.69,0.0,0.0
467,SNPS,"Synopsys, Inc.",466.76,0.0,0.0
468,SOLV,Solventum Corporation,85.43,0.0,0.0
469,HSIC,"Henry Schein, Inc.",73.62,0.0,0.0
470,PTC,PTC Inc.,173.52,0.0,0.0
471,BSX,Boston Scientific Corporation,97.52,0.0,0.0
472,TDY,Teledyne Technologies Incorporated,522.3,0.0,0.0
473,AZO,"AutoZone, Inc.",3822.66,0.0,0.0
474,EW,Edwards Lifesciences Corporation,86.19,0.0,0.0
475,FFIV,"F5, Inc.",248.12,0.0,0.0
476,HES,HES,,0.0,0.0
477,APP,AppLovin Corporation,691.94,0.0,0.0
478,AXON,"Axon Enterprise, Inc.",550.95,0.0,0.0
479,TTWO,"Take-Two Interactive Software,",247.88,0.001,0.0
480,TRMB,Trimble Inc.,83.52,0.0,0.0
481,TSLA,"Tesla, Inc.",455.0,0.0,0.0
482,WAT,Waters Corporation,394.81,0.0,0.0
483,FI,"Fiserv, Inc.",63.8,0.0,0.0
484,ZBRA,Zebra Technologies Corporation,264.81,0.0,0.0
485,VRTX,Vertex Pharmaceuticals Incorporated,455.48,0.0,0.0
486,ALGN,"Align Technology, Inc.",157.21,0.0,0.0
487,AMD,"Advanced Micro Devices,",217.97,0.0,0.0
488,ABNB,"Airbnb, Inc.",124.32,0.0,0.0
489,AKAM,"Akamai Technologies, Inc.",83.49,0.0,0.0
